anomaly_id,severity,anomaly_type,theme,type,subtype,country,column,description,percent_change,previous_value,current_value,is_real_issue,confidence,notes
0,critical,low_attribute_coverage,addresses,address,,,postal_city,99.2% of addresss missing 'postal_city' (0.8% coverage),0.0,0.0,0.7997035457666338,FALSE,MEDIUM,postal_city is optional granularity
1,critical,low_attribute_coverage,base,infrastructure,,,wikidata,99.8% of infrastructures missing 'wikidata' (0.2% coverage),0.0,0.0,0.2121455633559965,FALSE,HIGH,wikidata is optional enrichment field - low coverage expected
2,critical,low_attribute_coverage,base,infrastructure,,,surface,97.2% of infrastructures missing 'surface' (2.8% coverage),0.0,0.0,2.821108446416748,FALSE,MEDIUM,surface is optional attribute
3,critical,low_attribute_coverage,base,infrastructure,,,height,99.1% of infrastructures missing 'height' (0.9% coverage),0.0,0.0,0.9140943909844614,UNCERTAIN,LOW,Very low coverage for height - needs investigation
4,critical,net_feature_gain,base,infrastructure,,,,"Net gain of 1,367,815 features (1,501,897 added, 134,082 removed)",1.0,137307251.0,138675066.0,TRUE,HIGH,Large net gain indicates major data source addition
5,critical,low_attribute_coverage,base,land,,,wikidata,99.7% of lands missing 'wikidata' (0.3% coverage),0.0,0.0,0.3123026671090808,FALSE,HIGH,wikidata is optional enrichment field - low coverage expected
6,critical,low_attribute_coverage,base,land,,,names,97.7% of lands missing 'names' (2.3% coverage),0.0,0.0,2.264822505998453,UNCERTAIN,LOW,names for natural features often sparse
7,critical,low_attribute_coverage,base,land,,,elevation,98.7% of lands missing 'elevation' (1.3% coverage),0.0,0.0,1.3129580195700417,FALSE,MEDIUM,elevation is optional enrichment data
8,critical,low_attribute_coverage,base,land,,,surface,99.8% of lands missing 'surface' (0.2% coverage),0.0,0.0,0.2499713404520816,FALSE,MEDIUM,surface is optional attribute
9,critical,low_attribute_coverage,base,land,,,level,100.0% of lands missing 'level' (0.0% coverage),0.0,0.0,0.0222276468322956,FALSE,HIGH,level attribute rarely applicable to this feature type
10,critical,low_attribute_coverage,base,land_use,,,wikidata,99.4% of land_uses missing 'wikidata' (0.6% coverage),0.0,0.0,0.5980119055387064,FALSE,HIGH,wikidata is optional enrichment field - low coverage expected
11,critical,low_attribute_coverage,base,land_use,,,surface,95.4% of land_uses missing 'surface' (4.6% coverage),0.0,0.0,4.6149790400417485,FALSE,MEDIUM,surface is optional attribute
12,critical,low_attribute_coverage,base,land_use,,,level,99.9% of land_uses missing 'level' (0.1% coverage),0.0,0.0,0.0792152117413939,FALSE,HIGH,level attribute rarely applicable to this feature type
13,critical,geometry_length_change,base,water,lake,,,Total geometry length changed significantly,-21.9,3331.768654101252,2602.0963101675006,TRUE,HIGH,Large geometry change indicates data loss or error
14,critical,low_attribute_coverage,base,water,,,wikidata,99.5% of waters missing 'wikidata' (0.5% coverage),0.0,0.0,0.4882192382769038,FALSE,HIGH,wikidata is optional enrichment field - low coverage expected
15,critical,low_attribute_coverage,base,water,,,is_salt,99.7% of waters missing 'is_salt' (0.3% coverage),0.0,0.0,0.2700381502845589,FALSE,MEDIUM,is_salt is optional - most water is freshwater
16,critical,low_attribute_coverage,buildings,building,,,names,99.7% of buildings missing 'names' (0.3% coverage),0.0,0.0,0.3147318796602353,TRUE,MEDIUM,names for buildings is useful - low coverage notable
17,critical,low_attribute_coverage,buildings,building,,,level,99.9% of buildings missing 'level' (0.1% coverage),0.0,0.0,0.072704168920891,FALSE,HIGH,level attribute rarely applicable to this feature type
18,critical,low_attribute_coverage,buildings,building,,,num_floors,98.2% of buildings missing 'num_floors' (1.8% coverage),0.0,0.0,1.7904951440772343,TRUE,MEDIUM,num_floors is useful building metadata
19,critical,low_attribute_coverage,buildings,building,,,facade_color,100.0% of buildings missing 'facade_color' (0.0% coverage),0.0,0.0,0.0326177637147865,FALSE,HIGH,facade_color is rare architectural attribute - low coverage expected
20,critical,low_attribute_coverage,buildings,building,,,facade_material,99.9% of buildings missing 'facade_material' (0.1% coverage),0.0,0.0,0.0780514241406033,FALSE,HIGH,facade_material is rare architectural attribute - low coverage expected
21,critical,low_attribute_coverage,buildings,building,,,roof_material,99.9% of buildings missing 'roof_material' (0.1% coverage),0.0,0.0,0.0698082995294845,FALSE,HIGH,roof_material is rare architectural attribute - low coverage expected
22,critical,low_attribute_coverage,buildings,building,,,roof_shape,99.7% of buildings missing 'roof_shape' (0.3% coverage),0.0,0.0,0.3115686968203889,FALSE,HIGH,roof_shape is rare architectural attribute - low coverage expected
23,critical,low_attribute_coverage,buildings,building,,,roof_direction,100.0% of buildings missing 'roof_direction' (0.0% coverage),0.0,0.0,0.0020403164462599,FALSE,HIGH,roof_direction is rare architectural attribute - low coverage expected
